timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,1C:3A:60:02:B2:**,30:87:D9:B1:82:**,30:87:D9:B1:61:**,30:87:D9:B1:9B:**,30:87:D9:71:9B:**,00:24:6C:2D:17:**,08:36:C9:8E:F4:**,30:87:D9:71:61:**,30:87:D9:F1:61:**,30:87:D9:B1:51:**,00:24:6C:26:89:**,30:87:D9:B1:7E:**,30:87:D9:71:51:**,30:87:D9:F1:5C:**,30:87:D9:B1:55:**,30:87:D9:31:5A:**,30:87:D9:31:61:**,E8:48:B8:ED:47:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,E4:F0:42:E0:FB:**,0C:51:01:E3:94:**,EC:AD:E0:AE:D5:**,86:2A:FD:F0:89:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:F1:7C:**,30:87:D9:71:82:**,30:87:D9:B1:53:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:F1:53:**,30:87:D9:71:D7:**,30:87:D9:B1:FC:**,30:87:D9:31:9A:**,30:87:D9:31:D7:**,30:87:D9:71:5C:**,30:87:D9:31:96:**,30:87:D9:71:96:**,1C:3B:F3:DC:E3:**,30:87:D9:F2:06:**,30:87:D9:71:52:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:71:5E:**,30:87:D9:F1:59:**,C0:A0:BB:CF:65:**,30:87:D9:B1:97:**,30:87:D9:F1:5E:**,30:87:D9:F1:95:**,30:87:D9:73:01:**,30:87:D9:B1:58:**,30:87:D9:F1:5A:**,30:87:D9:F1:99:**,34:0A:33:03:77:**,30:87:D9:B1:6B:**,30:87:D9:31:6B:**,00:24:6C:26:87:**,30:87:D9:B1:72:**,30:87:D9:F1:97:**,30:87:D9:71:58:**,30:87:D9:71:77:**,56:13:79:27:1E:**,30:87:D9:F1:5B:**,D6:6A:6A:47:44:**,30:87:D9:31:54:**,FA:DA:0C:48:FB:**,30:87:D9:31:53:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:F2:1E:**,30:87:D9:B1:5B:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:31:58:**,30:87:D9:B1:54:**,30:87:D9:B1:89:**,30:87:D9:F1:58:**,30:87:D9:B1:52:**,30:87:D9:B2:06:**,30:87:D9:32:1E:**,30:87:D9:F1:82:**,30:87:D9:B3:01:**,30:87:D9:71:7D:**,30:87:D9:72:1E:**,30:87:D9:31:52:**,30:87:D9:F1:52:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:B1:5E:**,30:87:D9:F3:01:**,30:87:D9:F1:6B:**,30:87:D9:71:9A:**,30:87:D9:71:53:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,E8:37:7A:A5:3A:**,30:87:D9:31:72:**,30:87:D9:B1:77:**,30:87:D9:71:5A:**,C4:E9:0A:1D:37:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:B1:63:**,30:87:D9:71:95:**,78:32:1B:CC:37:**,30:87:D9:72:38:**,30:87:D9:F1:72:**,1C:3B:F3:AB:99:**,30:87:D9:71:99:**,30:87:D9:31:77:**,30:87:D9:72:06:**,30:87:D9:31:51:**,30:87:D9:31:9B:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,30:87:D9:33:01:**,30:87:D9:31:97:**,34:97:F6:6B:EB:**,38:D5:47:1E:6C:**,30:87:D9:71:7E:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:71:6B:**,30:87:D9:B1:9A:**,30:87:D9:31:5E:**,30:87:D9:B1:59:**,30:87:D9:B2:1E:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,30:87:D9:B1:5A:**,30:87:D9:B1:7D:**,30:87:D9:32:38:**
1665322048.178566,-69,-62,-100,-70,-68,-100,-100,-100,-78,-69,-70,-100,-100,-100,-100,-100,-100,-80,-70,-100,-74,-49,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-74,-100,-70,-100,-83,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-57,-100,-67,-100,-100,-100,-100,-58,-100,-57,-100,-100,-100,-100,-67,-100,-100,-100,-100,-72,-100,-100,-50,-74,-100,-57,-70,-77,-56,-100,-100,-100,-70,-100,-100,-100,-100,-100,-74,-100,-73,-60,-70,-68,-79,-77,-100,-100,-100,-100,-63,-100,-67,-100,-100,-60,-100,-100,-58,-100,-100,-67,-100,-100,-100,-69,-60,-100,-68,-100,-100,-100,-100,-100,-76,-51,-66,-62,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-62,-100,-73,-100,-100,-50,-63,-100,-100,-72
1665322049.178439,-70,-63,-100,-70,-71,-100,-100,-100,-78,-70,-71,-100,-100,-100,-100,-100,-100,-80,-69,-100,-73,-52,-100,-100,-100,-100,-100,-100,-100,-100,-75,-76,-74,-100,-70,-100,-83,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-61,-100,-75,-100,-100,-100,-100,-62,-100,-57,-100,-100,-100,-100,-72,-100,-100,-100,-100,-70,-100,-100,-52,-73,-100,-57,-70,-78,-61,-100,-100,-100,-70,-100,-100,-100,-100,-100,-70,-100,-73,-59,-70,-74,-75,-79,-100,-100,-100,-100,-63,-100,-66,-100,-100,-59,-100,-100,-58,-100,-100,-62,-100,-100,-100,-75,-62,-100,-74,-100,-100,-100,-100,-100,-77,-52,-72,-67,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-63,-100,-76,-100,-100,-52,-64,-100,-100,-73
1665322050.178697,-100,-100,-100,-44,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-56,-100,-100,-100,-100,-100,-74,-100,-56,-72,-100,-100,-100,-45,-58,-25,-61,-75,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-71,-51,-51,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-81,-100,-100,-65,-100,-100,-100,-100,-100,-100,-74,-62,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-52,-77,-100,-26,-100,-100,-100,-52,-52,-100,-100,-100,-100,-100,-73,-67,-66,-80,-100,-100,-80,-100,-61,-100,-100,-100,-100,-100,-100,-100,-78,-57,-100,-100,-100,-74,-100,-100,-74,-76,-100,-76,-100,-78,-100,-58,-100,-77,-100,-100,-65,-100,-75,-100,-60,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1665322051.178537,-76,-71,-100,-79,-38,-100,-100,-100,-100,-38,-38,-100,-100,-100,-100,-50,-79,-100,-38,-100,-72,-77,-100,-100,-76,-67,-59,-100,-100,-100,-78,-80,-100,-100,-82,-100,-68,-50,-100,-100,-100,-73,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-73,-100,-58,-100,-75,-77,-100,-67,-100,-75,-100,-100,-100,-100,-72,-100,-100,-100,-67,-100,-70,-100,-79,-100,-100,-75,-68,-76,-77,-100,-100,-71,-82,-100,-100,-69,-100,-100,-100,-100,-100,-68,-70,-59,-75,-75,-100,-100,-100,-78,-77,-100,-66,-100,-100,-67,-100,-100,-100,-100,-100,-66,-100,-100,-80,-100,-68,-100,-59,-100,-100,-100,-100,-100,-74,-78,-58,-67,-100,-100,-100,-100,-100,-100,-100,-50,-100,-78,-80,-100,-81,-69,-100,-79,-81,-100,-100,-100
1665322052.178649,-70,-69,-100,-70,-69,-100,-100,-100,-78,-69,-69,-100,-100,-100,-100,-100,-100,-80,-69,-100,-77,-47,-100,-100,-100,-100,-100,-100,-100,-100,-75,-76,-76,-100,-70,-100,-83,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-63,-100,-75,-100,-100,-100,-100,-68,-100,-62,-100,-100,-100,-100,-72,-100,-100,-100,-100,-68,-100,-100,-48,-67,-100,-62,-70,-78,-60,-100,-100,-100,-70,-100,-100,-100,-100,-100,-70,-100,-73,-68,-70,-74,-75,-79,-100,-100,-100,-100,-61,-100,-69,-100,-100,-67,-100,-100,-58,-100,-100,-69,-100,-100,-100,-75,-65,-100,-74,-100,-100,-100,-100,-100,-77,-47,-72,-69,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-60,-100,-76,-100,-100,-47,-60,-100,-100,-73
1665322053.178920,-100,-84,-100,-78,-78,-100,-100,-100,-60,-66,-75,-100,-100,-76,-100,-100,-68,-74,-70,-74,-100,-100,-100,-100,-77,-36,-100,-71,-67,-67,-76,-79,-79,-56,-68,-81,-36,-100,-75,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-80,-100,-67,-100,-100,-100,-100,-100,-60,-100,-61,-61,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-79,-100,-36,-77,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-62,-80,-79,-67,-100,-100,-62,-80,-78,-81,-100,-100,-100,-100,-76,-100,-100,-57,-100,-100,-100,-75,-100,-100,-68,-61,-100,-100,-100,-100,-100,-69,-100,-61,-82,-100,-66,-100,-100,-78,-56,-100,-100,-100,-62,-100,-100,-77,-100,-100,-100,-80,-100,-100,-100
1665322054.178509,-100,-100,-100,-65,-100,-100,-100,-80,-100,-81,-100,-100,-100,-77,-100,-100,-79,-64,-100,-80,-100,-66,-100,-100,-100,-84,-100,-73,-72,-100,-76,-100,-73,-100,-68,-81,-78,-100,-79,-100,-100,-44,-100,-100,-100,-100,-100,-100,-70,-100,-100,-68,-100,-67,-100,-67,-100,-76,-100,-64,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-79,-54,-100,-79,-66,-54,-100,-100,-100,-50,-100,-70,-100,-100,-68,-100,-100,-100,-69,-73,-100,-79,-100,-100,-100,-79,-49,-48,-100,-67,-78,-100,-45,-81,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-82,-52,-100,-79,-72,-100,-100,-100,-100,-100,-49,-65,-78,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-66,-100,-100,-80,-66,-46,-65,-100,-53
1665322055.179840,-100,-78,-100,-100,-73,-100,-100,-100,-52,-74,-73,-100,-100,-64,-81,-77,-60,-78,-71,-100,-100,-100,-100,-100,-63,-51,-73,-100,-70,-58,-63,-100,-100,-71,-79,-100,-51,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-81,-100,-100,-100,-100,-100,-100,-80,-74,-100,-66,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-79,-100,-100,-76,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-42,-100,-100,-100,-82,-100,-66,-74,-100,-79,-100,-100,-100,-100,-81,-100,-100,-70,-81,-100,-100,-100,-100,-100,-76,-42,-100,-100,-81,-100,-100,-100,-77,-41,-76,-100,-100,-100,-100,-63,-77,-100,-100,-100,-66,-76,-100,-100,-100,-100,-100,-80,-80,-100,-80
1665322056.179722,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-77,-68,-100,-75,-100,-67,-100,-100,-100,-70,-100,-78,-60,-100,-100,-100,-53,-77,-52,-76,-79,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-71,-80,-100,-63,-100,-70,-100,-63,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-79,-64,-100,-100,-73,-65,-100,-100,-100,-31,-100,-72,-100,-100,-52,-100,-100,-100,-73,-65,-100,-100,-100,-100,-100,-72,-31,-31,-100,-64,-100,-100,-57,-78,-100,-100,-100,-100,-100,-67,-100,-100,-78,-100,-100,-100,-74,-65,-100,-81,-68,-100,-100,-100,-100,-100,-31,-70,-68,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-57,-64,-100,-100,-100,-71,-57,-66,-100,-64
1665322057.178751,-67,-67,-100,-70,-65,-100,-100,-100,-78,-63,-65,-100,-100,-100,-100,-100,-100,-80,-63,-100,-74,-53,-100,-100,-100,-100,-100,-100,-100,-100,-75,-66,-74,-100,-70,-100,-83,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-50,-100,-67,-100,-100,-100,-100,-58,-100,-50,-100,-100,-100,-100,-66,-100,-100,-100,-100,-69,-100,-100,-52,-69,-100,-51,-68,-77,-48,-100,-100,-100,-70,-100,-100,-100,-100,-100,-74,-100,-71,-57,-68,-67,-76,-77,-100,-100,-100,-100,-55,-100,-68,-100,-100,-62,-100,-100,-100,-100,-100,-66,-100,-100,-100,-69,-61,-100,-68,-100,-100,-100,-100,-100,-76,-51,-69,-66,-100,-100,-79,-100,-71,-100,-100,-82,-100,-100,-55,-100,-67,-100,-100,-52,-54,-100,-100,-68
1665322058.178492,-100,-79,-100,-74,-76,-100,-100,-80,-100,-79,-78,-100,-100,-78,-100,-100,-75,-70,-77,-100,-100,-34,-100,-74,-78,-76,-100,-100,-100,-100,-75,-66,-76,-100,-75,-100,-78,-100,-100,-100,-77,-44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-81,-100,-100,-68,-70,-65,-100,-100,-100,-100,-71,-100,-67,-100,-100,-78,-100,-79,-100,-100,-100,-75,-64,-100,-78,-35,-64,-76,-65,-100,-76,-66,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-79,-65,-75,-100,-64,-77,-77,-100,-100,-100,-100,-45,-100,-78,-76,-100,-74,-100,-70,-100,-100,-100,-100,-100,-100,-100,-62,-73,-100,-65,-100,-100,-100,-100,-100,-74,-35,-65,-78,-100,-100,-68,-100,-77,-100,-100,-100,-100,-100,-45,-100,-70,-100,-79,-35,-45,-64,-100,-63
1665322059.178692,-100,-84,-100,-67,-77,-100,-100,-100,-60,-76,-76,-100,-100,-76,-100,-100,-70,-100,-71,-65,-100,-100,-100,-100,-77,-47,-100,-65,-63,-70,-76,-79,-67,-49,-53,-72,-47,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-80,-100,-67,-100,-100,-100,-100,-100,-58,-100,-62,-62,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-73,-100,-44,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-58,-100,-100,-100,-71,-72,-100,-100,-70,-100,-100,-55,-75,-77,-65,-100,-100,-61,-80,-73,-81,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-70,-100,-100,-57,-58,-100,-100,-100,-100,-100,-75,-100,-58,-82,-100,-67,-100,-100,-78,-51,-100,-100,-100,-62,-100,-100,-77,-100,-100,-100,-80,-100,-100,-100
1665322060.178507,-100,-100,-100,-67,-75,-100,-100,-74,-100,-71,-75,-100,-100,-77,-100,-100,-76,-76,-78,-100,-100,-34,-100,-74,-73,-75,-100,-100,-100,-100,-74,-78,-65,-100,-75,-100,-79,-100,-100,-100,-77,-42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-78,-100,-100,-79,-72,-68,-100,-100,-100,-100,-69,-100,-71,-100,-100,-77,-100,-100,-100,-100,-100,-78,-53,-100,-81,-35,-51,-76,-75,-100,-72,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-76,-59,-70,-100,-76,-67,-68,-100,-81,-100,-100,-41,-100,-74,-76,-100,-69,-100,-70,-100,-100,-100,-100,-100,-100,-100,-52,-67,-100,-75,-100,-100,-100,-100,-100,-70,-35,-68,-78,-100,-100,-74,-100,-76,-100,-100,-100,-100,-100,-42,-79,-58,-100,-80,-35,-42,-64,-100,-51
1665322092.483212,-100,-100,-100,-76,-100,-100,-100,-69,-73,-72,-100,-100,-100,-69,-100,-100,-69,-65,-74,-100,-100,-49,-100,-76,-76,-79,-100,-100,-79,-100,-77,-77,-65,-100,-66,-100,-70,-100,-100,-100,-74,-39,-100,-100,-100,-82,-100,-100,-100,-100,-100,-76,-77,-100,-100,-78,-100,-76,-100,-68,-70,-100,-100,-100,-100,-79,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-68,-57,-100,-80,-49,-56,-75,-100,-100,-65,-78,-100,-100,-100,-66,-78,-100,-100,-100,-100,-100,-74,-77,-78,-100,-70,-67,-66,-100,-77,-80,-100,-39,-100,-100,-79,-100,-81,-100,-68,-100,-100,-100,-100,-100,-100,-100,-56,-79,-100,-70,-100,-100,-100,-100,-100,-66,-49,-72,-80,-79,-100,-80,-100,-73,-100,-100,-80,-100,-100,-39,-80,-76,-100,-78,-49,-39,-67,-100,-56
1665322093.483467,-100,-76,-100,-79,-48,-100,-100,-100,-100,-48,-48,-100,-100,-81,-100,-64,-78,-100,-49,-100,-72,-77,-100,-100,-76,-62,-72,-100,-100,-100,-73,-100,-100,-100,-82,-100,-64,-65,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-60,-100,-100,-76,-100,-77,-100,-71,-100,-100,-100,-100,-72,-100,-100,-100,-63,-100,-68,-100,-78,-100,-100,-82,-68,-75,-75,-100,-100,-72,-82,-100,-100,-70,-100,-100,-100,-100,-100,-76,-70,-57,-76,-73,-100,-100,-100,-80,-100,-100,-76,-100,-100,-77,-100,-100,-100,-100,-100,-76,-100,-100,-82,-100,-79,-100,-57,-100,-100,-100,-100,-100,-76,-78,-57,-75,-100,-100,-100,-100,-74,-100,-100,-66,-100,-100,-80,-100,-100,-77,-100,-79,-81,-100,-100,-100
1665322094.483389,-100,-100,-100,-76,-100,-100,-100,-71,-100,-72,-69,-100,-100,-69,-100,-100,-79,-72,-74,-100,-100,-44,-100,-76,-76,-79,-100,-100,-79,-100,-77,-77,-68,-100,-70,-100,-78,-100,-100,-100,-74,-33,-100,-100,-100,-82,-100,-100,-100,-100,-100,-81,-77,-100,-100,-79,-100,-76,-100,-72,-65,-100,-100,-100,-100,-79,-100,-79,-100,-100,-81,-100,-100,-100,-100,-100,-78,-60,-100,-78,-45,-61,-75,-100,-100,-70,-74,-100,-100,-100,-75,-78,-100,-100,-100,-100,-100,-78,-77,-78,-100,-65,-71,-70,-100,-81,-80,-100,-34,-100,-100,-79,-100,-81,-100,-73,-100,-100,-100,-100,-100,-100,-100,-61,-79,-100,-64,-100,-100,-100,-100,-100,-71,-44,-64,-80,-79,-100,-70,-100,-73,-100,-100,-100,-100,-100,-34,-78,-76,-100,-78,-44,-34,-72,-100,-62
1665322095.483299,-70,-63,-100,-70,-68,-100,-100,-100,-78,-70,-70,-100,-100,-100,-100,-100,-100,-80,-68,-100,-73,-51,-100,-100,-100,-100,-100,-100,-100,-100,-75,-75,-74,-100,-70,-100,-83,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-57,-100,-74,-100,-100,-100,-100,-61,-100,-57,-100,-100,-100,-100,-72,-100,-100,-100,-100,-70,-100,-100,-51,-73,-100,-57,-70,-77,-57,-100,-100,-100,-70,-100,-100,-100,-100,-100,-70,-100,-73,-61,-72,-74,-79,-77,-100,-100,-100,-100,-63,-100,-66,-100,-100,-62,-100,-100,-58,-100,-100,-67,-100,-100,-100,-75,-61,-100,-73,-100,-100,-100,-100,-100,-76,-51,-75,-63,-100,-100,-79,-100,-100,-100,-100,-82,-100,-100,-63,-100,-73,-100,-100,-50,-63,-100,-100,-73
1665322096.483728,-100,-84,-100,-67,-77,-100,-100,-100,-60,-76,-76,-100,-100,-76,-100,-100,-70,-100,-71,-65,-100,-100,-100,-100,-77,-47,-100,-67,-63,-70,-76,-79,-67,-53,-59,-74,-47,-100,-71,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-80,-100,-68,-100,-100,-100,-100,-100,-58,-100,-62,-62,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-69,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-58,-100,-100,-100,-76,-100,-100,-100,-70,-100,-100,-55,-70,-71,-66,-100,-100,-61,-80,-67,-81,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-70,-100,-100,-57,-58,-100,-100,-100,-100,-100,-71,-100,-58,-82,-100,-66,-100,-100,-78,-54,-100,-100,-100,-62,-100,-100,-77,-100,-100,-100,-80,-100,-100,-100
1665322097.483529,-100,-100,-86,-65,-77,-100,-100,-100,-64,-76,-76,-100,-100,-79,-100,-100,-62,-100,-71,-62,-80,-100,-100,-100,-100,-49,-100,-81,-71,-74,-80,-100,-65,-48,-63,-75,-48,-100,-72,-100,-100,-100,-100,-100,-100,-100,-73,-100,-78,-47,-100,-100,-100,-100,-64,-100,-56,-100,-100,-100,-61,-100,-73,-72,-56,-100,-60,-100,-54,-100,-100,-100,-100,-100,-73,-64,-48,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-76,-100,-100,-61,-100,-100,-100,-77,-71,-100,-100,-100,-100,-100,-58,-70,-69,-60,-100,-100,-64,-100,-69,-100,-100,-100,-100,-58,-100,-100,-100,-47,-100,-100,-54,-77,-100,-100,-63,-59,-55,-100,-100,-100,-55,-70,-100,-60,-100,-100,-62,-100,-100,-81,-47,-100,-100,-54,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1665322098.483379,-100,-70,-100,-100,-65,-100,-100,-80,-100,-62,-62,-100,-100,-58,-100,-80,-68,-78,-64,-81,-100,-78,-100,-70,-58,-57,-73,-100,-74,-74,-57,-100,-100,-82,-100,-100,-58,-69,-100,-100,-100,-74,-100,-70,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-73,-100,-75,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-78,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-78,-76,-100,-69,-74,-100,-100,-100,-79,-100,-100,-80,-81,-100,-100,-82,-100,-100,-100,-39,-100,-100,-100,-100,-100,-100,-79,-40,-75,-100,-100,-100,-100,-57,-78,-100,-68,-100,-77,-77,-100,-80,-100,-100,-100,-81,-79,-100,-80
1665322099.483410,-100,-100,-100,-38,-100,-67,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-63,-100,-77,-100,-100,-100,-77,-100,-53,-68,-100,-100,-100,-39,-58,-31,-65,-67,-100,-62,-100,-100,-66,-100,-100,-100,-100,-100,-71,-49,-57,-100,-67,-100,-78,-79,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-66,-100,-100,-83,-63,-100,-68,-100,-100,-64,-79,-100,-100,-100,-100,-45,-100,-48,-100,-100,-31,-100,-100,-100,-49,-49,-100,-78,-100,-100,-100,-100,-45,-45,-74,-68,-100,-100,-67,-65,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-64,-100,-100,-67,-100,-100,-100,-100,-67,-100,-45,-79,-100,-100,-100,-72,-100,-100,-100,-60,-100,-100,-100,-100,-68,-68,-100,-100,-100,-79,-67,-100,-100,-100
1665322100.483628,-100,-100,-100,-69,-77,-100,-100,-100,-60,-76,-76,-100,-100,-76,-100,-100,-74,-100,-71,-68,-100,-100,-100,-100,-77,-49,-100,-81,-64,-74,-76,-100,-69,-47,-61,-77,-47,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-48,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-55,-100,-66,-66,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-76,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-72,-100,-100,-59,-100,-100,-100,-71,-73,-100,-100,-100,-100,-100,-58,-75,-72,-66,-100,-100,-66,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-82,-100,-100,-58,-57,-100,-100,-100,-100,-100,-75,-100,-56,-100,-100,-69,-100,-100,-78,-48,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1665322101.483448,-100,-78,-100,-100,-70,-100,-100,-80,-100,-71,-72,-100,-100,-55,-100,-80,-64,-78,-71,-81,-100,-78,-100,-70,-54,-60,-73,-100,-74,-74,-54,-100,-100,-79,-100,-100,-60,-69,-100,-100,-100,-80,-100,-70,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-77,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-36,-100,-100,-100,-100,-100,-73,-76,-100,-77,-74,-100,-100,-100,-79,-100,-100,-80,-78,-100,-100,-82,-100,-100,-100,-36,-100,-100,-100,-100,-100,-100,-78,-36,-77,-100,-100,-100,-100,-54,-78,-100,-68,-100,-74,-77,-100,-80,-100,-100,-100,-81,-79,-100,-80
1665322102.483559,-100,-100,-100,-46,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-61,-100,-100,-100,-100,-100,-74,-100,-43,-55,-100,-100,-100,-49,-46,-35,-53,-75,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-71,-47,-45,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-78,-100,-79,-81,-100,-100,-65,-100,-100,-100,-100,-100,-100,-74,-52,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-48,-77,-100,-35,-100,-100,-100,-50,-47,-100,-100,-100,-100,-100,-73,-63,-64,-80,-100,-100,-80,-100,-53,-100,-100,-100,-100,-100,-100,-100,-78,-47,-100,-100,-100,-59,-100,-100,-57,-76,-100,-76,-100,-100,-100,-65,-100,-77,-100,-100,-65,-100,-75,-100,-47,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
