timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468599.175041,-73,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-74,-100,-100,-100,-100,-100,-55,-100,-100,-100,-100,-100,-35,-78,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-54,-100
1662468600.178241,-100,-68,-76,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-77,-77,-100,-100,-100,-100,-59,-100,-100,-100,-67,-100,-100,-68,-100,-100,-100,-73,-100,-100,-100,-100,-73,-66,-79,-100,-66,-76,-59,-81,-75,-100,-100,-76,-75,-68,-100,-100,-66,-60,-100,-100,-100,-66,-100,-59,-81,-100,-74,-100,-100,-67,-78,-78,-100,-100,-100,-48,-68,-65
1662468601.175336,-75,-59,-77,-75,-77,-64,-100,-77,-76,-75,-100,-76,-80,-79,-78,-100,-81,-75,-77,-100,-68,-71,-66,-73,-87,-49,-100,-66,-100,-100,-67,-76,-72,-82,-78,-75,-100,-100,-80,-80,-66,-77,-77,-77,-100,-69,-77,-70,-60,-71,-100,-100,-64,-100,-71,-64,-74,-48,-100,-78,-75,-41,-72,-77,-100,-100,-77,-100,-59,-100,-100,-48,-100,-100,-70,-58,-78
1662468602.175030,-75,-60,-77,-75,-77,-64,-100,-77,-76,-78,-100,-74,-75,-79,-78,-100,-81,-75,-77,-100,-68,-67,-66,-68,-87,-49,-100,-66,-100,-100,-66,-76,-72,-82,-78,-74,-100,-100,-80,-68,-73,-77,-76,-76,-100,-70,-72,-71,-60,-69,-100,-100,-73,-100,-71,-64,-68,-48,-100,-77,-75,-41,-71,-77,-100,-100,-100,-100,-59,-100,-100,-48,-100,-100,-62,-60,-75
1662468603.174955,-100,-66,-70,-100,-77,-100,-100,-74,-100,-77,-100,-100,-77,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-64,-100,-100,-100,-73,-80,-100,-60,-79,-100,-100,-70,-100,-100,-100,-100,-68,-59,-75,-100,-76,-70,-66,-77,-75,-100,-100,-77,-72,-73,-100,-100,-66,-65,-100,-78,-76,-68,-100,-65,-74,-78,-75,-100,-100,-66,-78,-77,-100,-79,-100,-48,-64,-68
1662468604.175180,-68,-60,-100,-100,-79,-100,-100,-100,-100,-75,-100,-76,-77,-100,-78,-77,-100,-100,-100,-100,-100,-69,-100,-70,-100,-100,-100,-64,-100,-100,-65,-77,-100,-100,-100,-68,-100,-100,-100,-78,-66,-77,-76,-78,-100,-71,-77,-68,-100,-66,-100,-100,-65,-100,-100,-60,-71,-100,-100,-78,-76,-41,-71,-78,-100,-100,-76,-100,-61,-100,-100,-100,-100,-100,-75,-60,-78
1662468605.175006,-75,-59,-77,-75,-77,-64,-100,-100,-76,-75,-100,-75,-78,-79,-76,-76,-100,-75,-77,-100,-68,-70,-66,-72,-87,-49,-100,-66,-100,-100,-66,-78,-72,-82,-78,-75,-100,-100,-80,-78,-64,-77,-75,-78,-100,-72,-77,-73,-60,-70,-100,-100,-66,-100,-71,-64,-73,-48,-100,-78,-76,-41,-71,-100,-100,-100,-76,-100,-59,-100,-100,-48,-100,-100,-69,-59,-78
1662468606.175045,-100,-71,-74,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-77,-77,-100,-100,-100,-100,-63,-100,-100,-100,-72,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-77,-72,-76,-100,-67,-74,-63,-75,-75,-100,-100,-76,-76,-72,-100,-100,-71,-63,-100,-100,-100,-67,-100,-64,-81,-100,-75,-100,-100,-71,-78,-78,-100,-100,-100,-48,-71,-66
1662468607.175150,-74,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-75,-100,-100,-77,-78,-100,-100,-100,-77,-100,-100,-100,-100,-76,-100,-100,-100,-69,-100,-100,-100,-100,-75,-76,-78,-74,-100,-100,-52,-100,-100,-100,-100,-100,-35,-100,-100,-100,-77,-100,-100,-54,-100,-100,-100,-100,-100,-100,-53,-100
1662468608.174964,-75,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-75,-100,-100,-69,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-73,-74,-75,-74,-100,-100,-53,-100,-100,-100,-100,-100,-35,-100,-100,-100,-68,-100,-100,-52,-100,-100,-100,-100,-100,-100,-50,-100
